x,Curve1,Curve2
0.291,1178.615,1194.422
2.621,1180.089,1201.433
4.757,1181.638,1207.892
5.34,1182.104,1209.522
8.252,1184.589,1217.221
9.223,1185.437,1220.123
10.388,1186.579,1223.771
13.107,1189.859,1231.473
14.466,1191.547,1235.405
16.408,1194.054,1241.102
18.544,1196.901,1247.185
19.126,1197.679,1248.804
21.262,1200.729,1254.684
23.398,1204.214,1260.354
24.951,1206.865,1264.133
26.505,1209.571,1267.662
28.447,1213.005,1272.232
29.612,1215.081,1274.97
30.388,1216.458,1276.722
32.136,1219.535,1280.351
33.883,1222.598,1283.688
35.825,1225.999,1286.875
37.573,1229.121,1289.273
39.709,1233.091,1291.845
40.291,1234.149,1292.223
40.485,1234.495,1292.4
44.175,1240.631,1295.623
44.757,1241.549,1296.021
47.864,1246.38,1297.133
49.417,1248.827,1297.104
50.388,1250.211,1296.965
54.078,1254.734,1295.476
54.466,1255.179,1295.205
58.544,1259.446,1291.138
59.32,1260.133,1290.18
62.427,1262.349,1286.036
63.786,1263.156,1284.181
